gena	genb	mut.info
1	ABL1	AKT1	0.113014648090892
2	ABL1	ATM	0.0593628859659368
3	ABL1	ATR	0.0786561599109699
4	ABL1	AURKA	0.108545420155626
5	ABL1	AURKB	0.106371768090138
6	ABL1	BRAF	0.0748055043227978
7	ABL1	CAMK1	0.141875350950584
8	ABL1	CAMK2A	0.106507796546022
9	ABL1	CAMK2D	0.104543956740016
10	ABL1	CDC7	0.0919675772273889
11	ABL1	CDK1	0.109317708376748
12	ABL1	CDK2	0.0961492933465093
13	ABL1	CDK4	0.0948527035507341
14	ABL1	CDK5	0.093788559258797
15	ABL1	CDK7	0.105976377035073
16	ABL1	CDK9	0.114617337655609
17	ABL1	CHEK1	0.0864410509796647
18	ABL1	CHEK2	0.120935176639328
19	ABL1	CHUK	0.109075216508731
20	ABL1	CSNK1A1	0.1112492349823
21	ABL1	CSNK1D	0.11407729882848
22	ABL1	CSNK2A1	0.063872800632367
23	ABL1	DAPK1	0.0787519482962291
24	ABL1	DYRK1A	0.0700960062215241
25	ABL1	DYRK2	0.113798831582625
26	ABL1	EGFR	0.107934170796193
27	ABL1	FYN	0.112601884992738
28	ABL1	GSK3B	0.0608838431670673
29	ABL1	IKBKB	0.0985364554661374
30	ABL1	INSR	0.0814055342216395
31	ABL1	IRAK1	0.151398458960407
32	ABL1	JAK2	0.166263661061433
33	ABL1	LATS1	0.092620965662062
34	ABL1	LCK	0.21150746378335
35	ABL1	LYN	0.178201310045439
36	ABL1	MAP2K1	0.132766264844656
37	ABL1	MAP2K4	0.0915968267403904
38	ABL1	MAP3K5	0.115470879840887
39	ABL1	MAP3K7	0.124875896701298
40	ABL1	MAP3K8	0.117106529546404
41	ABL1	MAPK1	0.129889750292487
42	ABL1	MAPK11	0.0898832926729911
43	ABL1	MAPK14	0.0652386182312208
44	ABL1	MAPK7	0.0800517133616694
45	ABL1	MAPK8	0.0897939586552923
46	ABL1	MAPKAPK2	0.124165825469624
47	ABL1	MARK2	0.121677764585406
48	ABL1	MTOR	0.129237862957075
49	ABL1	NEK6	0.108554387292351
50	ABL1	PAK1	0.158287908600359
51	ABL1	PAK2	0.096013781830051
52	ABL1	PAK4	0.0962241626364411
53	ABL1	PDPK1	0.0864879209894287
54	ABL1	PIM1	0.0789363732971449
55	ABL1	PLK1	0.0913817218687982
56	ABL1	PLK3	0.107863936231285
57	ABL1	PRKAA1	0.129630504732663
58	ABL1	PRKACA	0.0896483457899957
59	ABL1	PRKCA	0.103717121253445
60	ABL1	PRKCB	0.108874798166847
61	ABL1	PRKCD	0.128675230729755
62	ABL1	PRKCE	0.10576377759438
63	ABL1	PRKCI	0.119690028216417
64	ABL1	PRKCQ	0.104160799154799
65	ABL1	PRKCZ	0.128216917096707
66	ABL1	PRKD1	0.0775596724094871
67	ABL1	PRKG1	0.107325777131515
68	ABL1	RET	0.15429697246675
69	ABL1	ROCK1	0.092727863233979
70	ABL1	RPS6KA1	0.0849530985166829
71	ABL1	RPS6KA3	0.101604742367698
72	ABL1	RPS6KA5	0.0779181441285548
73	ABL1	RPS6KB1	0.119508385795373
74	ABL1	SGK1	0.0900841346348655
75	ABL1	SRC	0.215268197545142
76	ABL1	STK11	0.0849617956273812
77	ABL1	SYK	0.144983868945467
78	ABL1	TBK1	0.0963812006489908
79	ABL1	TTK	0.0831278427542173
80	ABL1	ULK1	0.0614106444695963
81	ABL1	VRK1	0.116016855593559
82	AKT1	ATM	0.123123802888417
83	AKT1	ATR	0.0943805751903235
84	AKT1	AURKA	0.109054227848486
85	AKT1	AURKB	0.126290612959031
86	AKT1	BRAF	0.0792535760406827
87	AKT1	CAMK1	0.135764323993938
88	AKT1	CAMK2A	0.133762539170474
89	AKT1	CAMK2D	0.0996813249681243
90	AKT1	CDC7	0.131063426623883
91	AKT1	CDK1	0.156688136886252
92	AKT1	CDK2	0.114600579255336
93	AKT1	CDK4	0.141943742867184
94	AKT1	CDK5	0.107665937576007
95	AKT1	CDK7	0.121860373294715
96	AKT1	CDK9	0.125362091959396
97	AKT1	CHEK1	0.160630864465202
98	AKT1	CHEK2	0.149232348954946
99	AKT1	CHUK	0.11174678746844
100	AKT1	CSNK1A1	0.0801270139403933
101	AKT1	CSNK1D	0.100645403703204
102	AKT1	CSNK2A1	0.169324903674476
103	AKT1	DAPK1	0.111287750648421
104	AKT1	DYRK1A	0.103373349965264
105	AKT1	DYRK2	0.163037439407999
106	AKT1	EGFR	0.110939540846035
107	AKT1	FYN	0.0879924096489559
108	AKT1	GSK3B	0.124239084248061
109	AKT1	IKBKB	0.122606591263665
110	AKT1	INSR	0.103686197181935
111	AKT1	IRAK1	0.130215513181968
112	AKT1	JAK2	0.0819310638803352
113	AKT1	LATS1	0.116446064639467
114	AKT1	LCK	0.133288137420234
115	AKT1	LYN	0.140499725019872
116	AKT1	MAP2K1	0.121656087971021
117	AKT1	MAP2K4	0.161205525330856
118	AKT1	MAP3K5	0.126861738350923
119	AKT1	MAP3K7	0.117218591331859
120	AKT1	MAP3K8	0.107113898975374
121	AKT1	MAPK1	0.0791130725927212
122	AKT1	MAPK11	0.100906581951242
123	AKT1	MAPK14	0.110735452345817
124	AKT1	MAPK7	0.0964060460932661
125	AKT1	MAPK8	0.0937659360681398
126	AKT1	MAPKAPK2	0.175562857065858
127	AKT1	MARK2	0.107182749860393
128	AKT1	MTOR	0.122031359014628
129	AKT1	NEK6	0.167183292232988
130	AKT1	PAK1	0.0838614783423592
131	AKT1	PAK2	0.105423284651432
132	AKT1	PAK4	0.0993339617014803
133	AKT1	PDPK1	0.0961399955276461
134	AKT1	PIM1	0.0676992710631099
135	AKT1	PLK1	0.0996912990989802
136	AKT1	PLK3	0.121150041535117
137	AKT1	PRKAA1	0.123330783800254
138	AKT1	PRKACA	0.30388508695737
139	AKT1	PRKCA	0.244046354301321
140	AKT1	PRKCB	0.13858115048997
141	AKT1	PRKCD	0.166280280717786
142	AKT1	PRKCE	0.144175692729185
143	AKT1	PRKCI	0.115702256493341
144	AKT1	PRKCQ	0.123518659975073
145	AKT1	PRKCZ	0.123290161834078
146	AKT1	PRKD1	0.136272657181614
147	AKT1	PRKG1	0.141087541810021
148	AKT1	RET	0.0865619958571435
149	AKT1	ROCK1	0.150058234900178
150	AKT1	RPS6KA1	0.2769223261011
151	AKT1	RPS6KA3	0.173210562953211
152	AKT1	RPS6KA5	0.115815755682004
153	AKT1	RPS6KB1	0.253229316147963
154	AKT1	SGK1	0.215648051190561
155	AKT1	SRC	0.0753035896602663
156	AKT1	STK11	0.102811586953983
157	AKT1	SYK	0.169473906677293
158	AKT1	TBK1	0.116521387469849
159	AKT1	TTK	0.0879048086407535
160	AKT1	ULK1	0.0885950406748841
161	AKT1	VRK1	0.112059482786826
162	ATM	ATR	0.189850602857919
163	ATM	AURKA	0.104854606669792
164	ATM	AURKB	0.106807344530043
165	ATM	BRAF	0.086596174449443
166	ATM	CAMK1	0.104861114863345
167	ATM	CAMK2A	0.131242070525514
168	ATM	CAMK2D	0.092248984908248
169	ATM	CDC7	0.121073081864003
170	ATM	CDK1	0.120451084040912
171	ATM	CDK2	0.124581285653427
172	ATM	CDK4	0.0982348018633128
173	ATM	CDK5	0.113850061774706
174	ATM	CDK7	0.133781001806716
175	ATM	CDK9	0.102294936176029
176	ATM	CHEK1	0.120523667935634
177	ATM	CHEK2	0.0850324961729156
178	ATM	CHUK	0.145994325986961
179	ATM	CSNK1A1	0.0977754157163249
180	ATM	CSNK1D	0.120286817042942
181	ATM	CSNK2A1	0.122197830513016
182	ATM	DAPK1	0.121740016070671
183	ATM	DYRK1A	0.0765689316632807
184	ATM	DYRK2	0.0892962431059932
185	ATM	EGFR	0.0954016403230948
186	ATM	FYN	0.0719868944051947
187	ATM	GSK3B	0.0917598657518197
188	ATM	IKBKB	0.102517669725168
189	ATM	INSR	0.0757584752693599
190	ATM	IRAK1	0.0861317546413218
191	ATM	JAK2	0.0899400995088269
192	ATM	LATS1	0.109483634711055
193	ATM	LCK	0.0764397346843846
194	ATM	LYN	0.098458296551847
195	ATM	MAP2K1	0.0901113907327051
196	ATM	MAP2K4	0.121058952985105
197	ATM	MAP3K5	0.0864735248161561
198	ATM	MAP3K7	0.0841778211536579
199	ATM	MAP3K8	0.0897011371032033
200	ATM	MAPK1	0.100177200799294
201	ATM	MAPK11	0.135047490267473
202	ATM	MAPK14	0.11259655052312
203	ATM	MAPK7	0.0744855458240341
204	ATM	MAPK8	0.0806599145674567
205	ATM	MAPKAPK2	0.0872950843789582
206	ATM	MARK2	0.11697010950271
207	ATM	MTOR	0.109603961809449
208	ATM	NEK6	0.11139831127898
209	ATM	PAK1	0.101634847255692
210	ATM	PAK2	0.112800549264321
211	ATM	PAK4	0.0823125957955613
212	ATM	PDPK1	0.107062811820463
213	ATM	PIM1	0.104789679079836
214	ATM	PLK1	0.119626892449611
215	ATM	PLK3	0.124983748883619
216	ATM	PRKAA1	0.10856057603034
217	ATM	PRKACA	0.131886712513236
218	ATM	PRKCA	0.130393056937222
219	ATM	PRKCB	0.119458443361056
220	ATM	PRKCD	0.102654784299262
221	ATM	PRKCE	0.102688106150346
222	ATM	PRKCI	0.111434896330911
223	ATM	PRKCQ	0.0883246582035051
224	ATM	PRKCZ	0.143593337486199
225	ATM	PRKD1	0.110122387032773
226	ATM	PRKG1	0.103246180004593
227	ATM	RET	0.106223563502808
228	ATM	ROCK1	0.115394228527773
229	ATM	RPS6KA1	0.111654449686578
230	ATM	RPS6KA3	0.125805185592611
231	ATM	RPS6KA5	0.114227886913876
232	ATM	RPS6KB1	0.0987977667075008
233	ATM	SGK1	0.0811967471155368
234	ATM	SRC	0.0739431485679982
235	ATM	STK11	0.134581697646285
236	ATM	SYK	0.110897764463183
237	ATM	TBK1	0.0456689514556343
238	ATM	TTK	0.124385442750478
239	ATM	ULK1	0.0967879760443839
240	ATM	VRK1	0.109352656810594
241	ATR	AURKA	0.0822024452938521
242	ATR	AURKB	0.0797812203795933
243	ATR	BRAF	0.12650602551238
244	ATR	CAMK1	0.083308458901318
245	ATR	CAMK2A	0.107317401365616
246	ATR	CAMK2D	0.083577439970147
247	ATR	CDC7	0.140853460834984
248	ATR	CDK1	0.152033446962633
249	ATR	CDK2	0.116138828103511
250	ATR	CDK4	0.126216111071916
251	ATR	CDK5	0.114148388854543
252	ATR	CDK7	0.144927452818044
253	ATR	CDK9	0.115149754747615
254	ATR	CHEK1	0.110121825435048
255	ATR	CHEK2	0.121808502161078
